ананас;Какой плод булгаковский Бегемот из романа Мастер и Маргарита предпочитал солить и перчить перед съедением?
арбуз;Сочный полосатик
банан;Род многолетних трав, плодовое растение.
гранат;Плод, напичканный зрнами
грейпфрут;Что получили в Индии, скрестив апельсин с лимоном?
дыня;На какой овощ похож мяч для игры в регби?
киви;Нелетающая птица отряда страусов, обитающая в Новой Зеландии
кокос;Плод в составе батончика Баунти
манго;Плодовое тропическое дерево
маракуйя;В англоязычных источниках этот экзотический плод обычно именуют - фрукт страсти
виноград;Что собирала песенная смуглянка-молдаванка?
папайя;Дынное дерево.
картофель;Какой корнеплод крестьяне называли чёртовым яблоком?
томат;Консервная среда обитания для кильки
ролики;Коньки для променада по парковым дорожкам
батат;Сладкий картофель.
лук;Овощ, давший название горю
капуста;Как одела сто рубах, захрустела на зубах загадка
огурец;Без окон, без дверей полна горница людей загадка
баклажан;Растение семейства пасленовых.
фасоль;Что тушат, когда готовят лобио?
перец;Пряность, которую можно задать
морковь;Какой овощ чаще всего вспоминают при ассоциации с любовью?
горох;Какой овощ был первым законсервирован?
чеснок;Что на Руси ели повсеместно, римляне называли смрадным, а Пифагор - королём пряностей?
кабачок;Оперетта французского композитора Шарля Лекока ... Рампоно
салат;Об этом главном блюде повар- римлянин Сальваторе Массоньо в веке написал трактат на страницах, не повторив ни одного рецепта
шпинат;Арабское название этого листового овоща переводится как испанский огород
брокколи;Растение семейства крестоцветных.
спаржа;Растение семейства лилейных.
боб;Шоколадные какао-...
